Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.23271E-4,21.001743631,0.313391197,0.029701983,0.060606061,0.1
7.42406E-4,21.297714143,0.320187403,0.029303299,0.060606061,0.1
7.66314E-4,21.525508995,0.328584113,0.029004286,0.060606061,0.1
7.76514E-4,21.757024198,0.332134843,0.028705273,0.060606061,0.1
7.95774E-4,22.073570427,0.338788244,0.028306588,0.060606061,0.1
8.07637E-4,22.314811107,0.342853271,0.028007575,0.060606061,0.1
8.31622E-4,22.56109042,0.350996207,0.027708562,0.090909091,0.1
8.35917E-4,22.811222155,0.352443506,0.027409548,0.090909091,0.1
8.47975E-4,23.064570561,0.35649009,0.027110535,0.121212121,0.1
8.64502E-4,23.321582161,0.361995014,0.026811522,0.121212121,0.1
8.68173E-4,23.581903438,0.363211524,0.026512509,0.121212121,0.1
8.80511E-4,23.757317216,0.36728284,0.026313167,0.121212121,0.1
8.86999E-4,24.022562422,0.369413048,0.026014153,0.151515152,0.1
9.02108E-4,24.291648169,0.374346723,0.02571514,0.151515152,0.1
9.11708E-4,24.564126611,0.377461232,0.025416127,0.181818182,0.2
9.23347E-4,24.840298068,0.381216317,0.025117114,0.181818182,0.2
9.32513E-4,25.026533625,0.384158048,0.024917771,0.181818182,0.2
9.43273E-4,25.308013204,0.387593156,0.024618758,0.181818182,0.2
9.56129E-4,25.593498739,0.391672154,0.024319745,0.181818182,0.2
9.66032E-4,25.786015192,0.394795756,0.024120403,0.181818182,0.2
1.00235E-3,26.08223664,0.406114709,0.023821389,0.181818182,0.2
1.01326E-3,26.284371615,0.409473139,0.023622047,0.181818182,0.2
1.02046E-3,26.589768895,0.411678612,0.023323034,0.212121212,0.2
1.02517E-3,26.794546167,0.413119127,0.023123692,0.212121212,0.2
1.0293E-3,27.000222335,0.414375931,0.02292435,0.212121212,0.2
1.04528E-3,27.313531084,0.419220714,0.022625336,0.212121212,0.2
1.07604E-3,27.527014626,0.428435974,0.022425994,0.212121212,0.2
1.0982E-3,27.853438455,0.434981256,0.022126981,0.212121212,0.2
1.11742E-3,28.076820795,0.440597752,0.021927639,0.242424242,0.2
1.13578E-3,28.303429407,0.445912028,0.021728297,0.242424242,0.2
1.14511E-3,28.531697107,0.448593859,0.021528954,0.242424242,0.2
1.15852E-3,28.76256859,0.452423152,0.021329612,0.242424242,0.2
1.17702E-3,29.112632514,0.457664095,0.021030599,0.242424242,0.2
1.18098E-3,29.348717199,0.458781085,0.020831257,0.242424242,0.2
1.19435E-3,29.58748138,0.462529715,0.020631915,0.242424242,0.2
1.20877E-3,29.82918466,0.466541491,0.020432573,0.242424242,0.2
1.21339E-3,30.071724129,0.4678223,0.02023323,0.242424242,0.2
1.22093E-3,30.315632365,0.469905467,0.020033888,0.242424242,0.2
1.23448E-3,30.562293507,0.473624782,0.019834546,0.242424242,0.2
1.25537E-3,30.812496163,0.479311449,0.019635204,0.242424242,0.2
1.25965E-3,31.064221721,0.48046746,0.019435862,0.242424242,0.2
1.26268E-3,31.316483829,0.481286437,0.019236519,0.242424242,0.2
1.26736E-3,31.569883248,0.482544996,0.019037177,0.242424242,0.2
1.27488E-3,31.824378501,0.48456442,0.018837835,0.242424242,0.2
1.28122E-3,32.080060247,0.48626102,0.018638493,0.242424242,0.2
1.29959E-3,32.338493337,0.491143464,0.018439151,0.242424242,0.2
1.31258E-3,32.599723474,0.494567736,0.018239809,0.242424242,0.2
1.31624E-3,32.862939432,0.495528229,0.018040466,0.242424242,0.2
1.33581E-3,33.129125273,0.500633814,0.017841124,0.242424242,0.2
1.34274E-3,33.26339944,0.502431017,0.017741453,0.242424242,0.2
1.36715E-3,33.536773632,0.508704125,0.017542111,0.242424242,0.2
